Title, Artist
ハートビート,TAHITI 80
Surf Session,Ho’onu’a
Burn,The Temper Trap
The Great Unknown,Jukebox The Ghost
Another Rainbow,Bo Napoleon feat. Kapena DeLima
SMILE,Nulbarich
Charlemagne,Blossoms
One Night Stand,Kekai Boyz
Stay feat.Maty Noyes,Kygo
Honey Baby,Jeff James (Jeffro)
Where Are You Now? feat.Wiley,Lady Leshurr
Local Girls,Typical Hawaiians
DUMBO,Suchmos
Everybody Knows,Nulbarich
Focus,Jacob Whitesides
Haleakala Medley,Kendra
Body Talk,Foxes
Only One,JOHN BUTLER TRIO
THE ONE,マイア・ヒラサワ
Bored To Death,blink-182
夜を使いはたして feat. PUNPEE,STUTS
Drowning,さかいゆう
Wolf Eyes,Rah Rah
When I See You Smile feat. Kalisi,iakopo
Mercy,Michael Calfan
Money,Con Brio
Believe My Eyes,Capeson
Breaking the Doors,Michael Calfan
I Want You To Want Me,Norma Jean Martine
Slow,Rumer
Ori Tali Ma (LVNDSCAPE Remix),Sander van Doorn
She Burns,Foy Vance
夜を使いはたして feat. PUNPEE,STUTS
Someone That Loves You,HONNE
Bullit,Watermat
I’m Leaving,Ho’okoa
夜を使いはたして feat. PUNPEE,STUTS
Knife Edge,Matt Corby
Love Or Love,Little Barrie
Waste A Moment,Kings Of Leon
rhythm,iri
Love Me Now,John Legend
Sunny Days,Wouter Hamel
夜を使いはたして feat. PUNPEE,STUTS
Our Love,Sharon Van Etten
Where The Devil Don’t Go,Elle King
Heads Will Roll,Yeah Yeah Yeahs
Back Down To Earth,MICHELLE SHAPROW
Just Say feat.Tinashe,KDA
Nebraska,Lucy Rose
Our Love,Sharon Van Etten
Vocal,Pet Shop Boys
Come My Way,Delv!s
1973,Beth Orton
Into The Sunset,Mako
Natural Woman,ビッケブランカ
To Be Without You,Ryan Adams
Greasy Love,Findlay
Backbeat,Dagny
Something Inside,Jessie Ware
Night People,You Me At Six
Ups And Downs,Ho’okoa
Home,Lisa Hannigan
Ready for the Magic,Honeyblood
Treat You Better,Shawn Mendes
All Over Again,BABY-T & iamSHUM
Slave of Love,ビッケブランカ
All Life,Nuits d’Etoiles
Pleasure,Justice
A Good Day,平井 大
First Time,Carly Rae Jepsen
Love Me,TTYM
It Can’t Get Better Than This,Kalisi
Life is Beautiful,平井 大
Fall in Place,La Sera
Cooler Than This,Rizzle Kicks
Faraway,平井 大
Please Don’t Forget Me,POP ETC
Fly Away,Los Lonely Boys
Heartbreak Dream,Betty Who
Honey Sweet,Blossoms
Come Together feat. iri,TAAR
You Don’t Know Love,Olly Murs
Freaky boy,I Don’t Like Mondays.
Love & War (feat. Yade Lauren),Yellow Claw
Everything is Music,平井大
Game over,I Don’t Like Mondays
プロミス・イン・ラヴ (feat. José James),Takuya Kuroda
Three Words,Amber Pacific
Stay By My Side,平井大
TOKYO BROTHERS,I Don’t Like Mondays
tonight,平井大
Wild Things,Alessia Cara
Beach,San Cisco
また逢う日まで,平井大
Wallflower,Priscilla Ahn
Tell Me A Tale,Michael Kiwanuka
Cake by the Ocean,DNCE
胸騒ぎアンセム(feat.PES),YALLA FAMILY
To The Beach,平井大
Confetti,Sia
Follow Me,Nulbarich
To The Beach,平井大
Follow Me,Nulbarich
Back in the Game (feat. Paul Weller),The Stone Foundation
Wild Love,Elle King
胸騒ぎアンセム(feat.PES),YALLA FAMILY
Higher,Sunrise In My Attache Case
Don’t look back,I Don’t Like Mondays
Follow Me,Nulbarich
So Close to Magic,Aquilo
What If I Go? (feat. Bonzai),Mura Masa
Beautiful,平井大
Only The Horses,Scissor Sisters
Cloud 9,Jamiroquai
Follow Me,Nulbarich
Only A Shadow,Sleep Party People
I’ll Be Back,WEZ
Vampires,Frank Carter And The Rattlesnakes
Zigzagger (Rework),"Takuya Kuroda, cero"
Moon Ride,ビッケブランカ
Run Like Lola,The Ramona Flowers
Ori Tali Ma (LVNDSCAPE Remix),I Don’t Like Mondays
TONIGHT,"Takuya Kuroda, cero"
Slave of love,ビッケブランカ
Passenger,Lisa Hannigan
Love Is (feat.Anca Pop),FUMI★YEAH!
Story of Our Life,平井大
