…Ready For It?,Taylor Swift
Chasing Cars,Snow Patrol
Dear Life,BECK
Lost In This City,Michael Kaneko
Never Let You Down,Trobi feat.Stevie Appleton
Cracks Between,Ten Tonnes
Never Let You Down (Acoustic Version),Trobi feat. Stevie Appleton
Found You (Make Me Yours),Throttle
Behind Closed Doors,The Strypes
I’m Not The One,Pete Yorn
Golden Pineapple,Jay Hardway
Ultraviolet,The Amazons
Darkest Hour,Charlotte OC
Feel Alive,Lucas & Steve x Pep & Rash
Joyride,Bassjackers & Brooks
A Way Home (Extended Mix),KO:YU & Don Palm
Desire,Everything Everything
Exhumed,Zola Jesus
Give,You Me At Six
愛を伝えたいだとか,あいみょん
Scio,Jay Hardway
Broken Glass,Rachel Platten
Victoria Falls,Flyte
C’est la vie feat. 七尾旅人,Kan Sano
Don’t Stay Away (feat. Naations),King Henry
L For App,Jesse Ruins
愛を伝えたいだとか,あいみょん
Hope You Can Wait (Hot Toddy Remix),Izo FitzRoy
Wall (feat. I Don’t Like Mondays.),Baby-T
Showdown,Ummet Ozcan
Better Day,Islander
愛を伝えたいだとか,あいみょん
Passport Home,JP Cooper
Begging,Mabel
Little Thing Gone Wild,Black Rebel Motorcycle Club
Safe,Bay Ledges
Giants,Lights
ふたりの世界,あいみょん
All The Things,Mando Diao
ILYSB,LANY
Plastic Machinery,The Charlatans
ふたりの世界,あいみょん
We Don’t Give A,NAO
ふたりの世界,あいみょん
Drive Me Wild,Alexia Coley
Slowly Drive,iri
Run,Foo Fighters
Sticky Leaves,Linying
Paradise,George Ezra
満月の夜なら,あいみょん
Notice Me,SPINN
Stay Here,Henry Green
Second Chance,Lucy Rose
満月の夜なら,あいみょん
ふたりの世界,あいみょん
Me and Michael,MGMT
Ti Amo,Phoenix
End Of The World With You,Calexico
High Times,THREE 1989
庭をでて,The Wisely Brothers
Lawless,Colours
UNIVERSE (Kan Sano Remix),THREE1989
My Lucky Charm,The Postmarks
ACIIID (Original Mix),MOGUAI
Laps Around A Picture Frame,Broadside
Jungle Love,THREE1989
Time,Tom Adams
Fools,Troye Sivan
"OK, Cheers!",chelmico
Up All Night,Beck
"OK, Cheers!",chelmico
Lawless,Colours
PARAISO,Charlie
太陽 (English version) ~featuring Chris Cron from MELEE~,ふたり
UMBRELLA,THREE1989
Highlight,chelmico
Palm Tree,ゆるふわギャング
I Just Wanna Go Back ◐,HONNE
The Sun II,SNAKADAKTAL
Dancing,Kylie Minogue
Ciao Adios,Anne-Marie
Sound Of Love feat. EDEN KAI,BABY-T
diamond,sooogood!
All Wordz Are Made Up,The Voidz
There’s A Reason Why (I Never Returned Your Calls),Blossoms
Mad Man,Laidback Luke & KURA
Built On Ashes,Zeal & Ardor
End/Gone,Nick Moon
Who Are You,Aquilo
All That I Want Is You,The Magic Gang
Let Me,ZAYN
Paradise,Broadside
Hopeless,Khalid
My Girl,I Don’t Like Mondays.
Sit Next To Me,Foster The People
Be On Your Side,EDEN KAI
High Horse,Kacey Musgraves
Night Pool,Roll Room
Without You,Stevie Parker
Swear I’m Gonna Change,EDEN KAI
Set To Attack,Albert Hammond Jr.
Do I Need You Now?,DMA’S
Oh My! (Mark Di Meo Remix),Palamino
オンナは変わる,ゲスの極み乙女。
ロマンスがありあまる,ゲスの極み乙女。
Bang That,Disclosure
Stand By You,Official髭男dism
Blurred,mabanua
LOOP,SIRUP
Call Me,Imelda May
Shine,Rews
エヴリシング・アイ・ノウ,ベニー・シングス
もう切ないとは言わせない,ゲスの極み乙女。
